FID,OBJECTID,SHAPE,KATEGORIE_TXT,ADRESSE,FLAECHE,SPORTSTAETTEN_ART,WEBLINK1,KATEGORIE_NUM,SE_ANNO_CAD_DATA
SPORTSTAETTENOGD.16590,16590,POINT (16.444504723864537 48.241536542685665),Vereinssport outdoor,"22., Natorpgasse 2",28664,"Rasenplatz,<br />Kunstrasenplatz (Fußball),<br />polysportiver Rasenplatz",http://www.fchellaskagran.at/wb/,7,
SPORTSTAETTENOGD.16591,16591,POINT (16.49299219811239 48.277625767620165),Vereinssport outdoor,"22., Pehamgasse 6",19029,2 Rasenplätze,http://www.scbih.at/,7,
SPORTSTAETTENOGD.16592,16592,POINT (16.483707638506797 48.22150942107177),Öffentlich outdoor,"22., Pilotengasse 36 ggü",1155,"polysportiver Rasenplatz,<br />Beachvolleyballplatz",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16593,16593,POINT (16.466101950754318 48.228189253963),Vereinssport outdoor,"22., Plankenmaisgasse 28",8212,polysportiver Rasenplatz,https://www.wien.gv.at/freizeit/sportamt/sportstaetten/anlagen/jugendsport/plankenmaisstrasse.html,7,
SPORTSTAETTENOGD.16594,16594,POINT (16.453121831876995 48.237286018483886),Öffentlich outdoor,"22., Polgarstraße 34 ggü",210,"Skateranlage,<br />Tischtennis",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16595,16595,POINT (16.432736532284224 48.24735828175885),Öffentlich outdoor,"22., Prandaugasse, Kirschblütenpark 5 neben",1035,"Skateranlage,<br />polysportive Hartplätze",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16596,16596,POINT (16.445572742351768 48.228905150819564),Öffentlich outdoor,"22., Schreinerweg 40 ggü",395,polysportiver Rasenplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16597,16597,POINT (16.38423456219705 48.19819236873505),Turnsaal,"3., Strohgasse 15",242,Turnsaal 143 m²<br />Turnsaal 99 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16598,16598,POINT (16.387131194528383 48.19634831598594),Schulsport outdoor,"3., Ungargasse 69",1035,Hartplatz 1035 m²,,5,
SPORTSTAETTENOGD.16599,16599,POINT (16.387144654782055 48.19635730325281),Turnsaal,"3., Ungargasse 69",960,Turnsaal 1 480 m²<br />Turnsaal 2 480 m²,,6,
SPORTSTAETTENOGD.16600,16600,POINT (16.370895255619466 48.19309764952712),Turnsaal,"4., Favoritenstraße 15",1590,Sporthalle 1215 m²<br />Turnsaal 375 m²,http://www.theresianum.ac.at/php/start.php,6,
SPORTSTAETTENOGD.16601,16601,POINT (16.370908712183148 48.19310663870097),Schulsport outdoor,"4., Favoritenstraße 15",7000,Schwimmbad 100 m²<br />Rasenplatz 5400 m²<br />Hartplatz 1125 m²<br />Beachvolleyballplatz 375 m²,http://www.theresianum.ac.at/php/start.php,5,
SPORTSTAETTENOGD.16602,16602,POINT (16.368790087777672 48.19135222828867),Turnsaal,"4., Graf-Starhemberg-Gasse 8",172,Turnsaal 172 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16603,16603,POINT (16.364160729951447 48.18963672909751),Schulsport outdoor,"4., Phorusgasse 4",325,Hartplatz 325 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16604,16604,POINT (16.364174184431267 48.18964571906553),Turnsaal,"4., Phorusgasse 4",266,Turnsaal 133 m²<br />Turnsaal 133 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16605,16605,POINT (16.36796920193832 48.191085269193174),Turnsaal,"4., Schaumburgergasse 7",172,Turnsaal 172 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16606,16606,POINT (16.365515088412895 48.19455326792097),Turnsaal,"4., Schäffergasse 3",591,Turnsaal 298 m²<br />Turnsaal 293 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16607,16607,POINT (16.365528544417096 48.19456225772244),Schulsport outdoor,"4., Schäffergasse 3",364,Hartplatz 364 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16608,16608,POINT (16.37491825202297 48.19036790174776),Turnsaal,"4., St.-Elisabeth-Platz 8",93,Turnsaal 93 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16609,16609,POINT (16.36853567881973 48.19102944272079),Turnsaal,"4., Waltergasse 16",139,Turnsaal 139 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16610,16610,POINT (16.36878472213262 48.19073969976154),Schulsport outdoor,"4., Waltergasse 7",630,Hartplatz 630 m²,,5,
SPORTSTAETTENOGD.16611,16611,POINT (16.368798177709728 48.1907486891864),Turnsaal,"4., Waltergasse 7",216,Turnsaal 1+2 gesamt 216 m²,,6,
SPORTSTAETTENOGD.16612,16612,POINT (16.36866815199051 48.18464113866913),Turnsaal,"4., Wiedner Gürtel 68",810,Turnsaal 1+2 gesamt 810 m²,,6,
SPORTSTAETTENOGD.16613,16613,POINT (16.346914309914098 48.18693024346462),Turnsaal,"5., Am Hundsturm 18",256,Turnsaal 151 m²<br />Turnsaal 105 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16614,16614,POINT (16.358554751368764 48.189188296724),Turnsaal,"5., Castelligasse 9",144,Turnsaal 144 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16615,16615,POINT (16.350700640250416 48.18243427673591),Turnsaal,"5., Diehlgasse 2",157,Turnsaal 157 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16616,16616,POINT (16.350714090491476 48.182443268291074),Schulsport outdoor,"5., Diehlgasse 2",541,Befestigte Fläche 401 m²<br />Hartplatz 140 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16617,16617,POINT (16.35128904826232 48.18267692875817),Turnsaal,"5., Einsiedlergasse 7",185,Turnsaal 185 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16618,16618,POINT (16.350686496054742 48.185199345713684),Turnsaal,"5., Embelgasse 46-48",180,Turnsaal Part 180 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16619,16619,POINT (16.36145733674983 48.1827539193871),Turnsaal,"5., Gassergasse 44",193,Turnsaal 193 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16620,16620,POINT (16.36145733674983 48.1827539193871),Schulsport outdoor,"5., Gassergasse 44+46",788,Befestigte Fläche 788 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16621,16621,POINT (16.361064730048124 48.1826174875187),Turnsaal,"5., Gassergasse 46",151,Turnsaal 151 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16622,16622,POINT (16.36045800756431 48.1923637851203),Turnsaal,"5., Margaretenstraße 65",200,Turnsaal 200 m²,,6,
SPORTSTAETTENOGD.16623,16623,POINT (16.354967118523064 48.18848162134842),Turnsaal,"5., Pannaschgasse 6",146,Turnsaal 146 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16624,16624,POINT (16.354980571092867 48.188490612394546),Schulsport outdoor,"5., Pannaschgasse 6",193,Hartplatz 193 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16625,16625,POINT (16.364656686613948 48.18685598372519),Turnsaal,"5., Rainergasse 39",334,Turnsaal 1+2 gesamt 334 m²,,6,
SPORTSTAETTENOGD.16626,16626,POINT (16.36467014045241 48.18686497363973),Schulsport outdoor,"5., Rainergasse 39",1387,Hartplatz 1387 m²,,5,
SPORTSTAETTENOGD.16627,16627,POINT (16.355673614309957 48.18425053702437),Schulsport outdoor,"5., Reinprechtsdorferstraße 24",528,Hartplatz 528 m²,,5,
SPORTSTAETTENOGD.16628,16628,POINT (16.355687065895843 48.1842595279946),Turnsaal,"5., Reinprechtsdorferstraße 24",320,Turnsaal 198 m²<br />Gymnastikraum 122 m²,,6,
SPORTSTAETTENOGD.16629,16629,POINT (16.35675125153283 48.18568072623409),Turnsaal,"5., Spengergasse 20",754,Turnsaal 1 409 m²<br />Turnsaal 2 345 m²,,6,
SPORTSTAETTENOGD.16630,16630,POINT (16.356475065310555 48.18409967099767),Turnsaal,"5., Stolberggasse 53",188,Turnsaal 188 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16631,16631,POINT (16.35669033085239 48.18803777895322),Schulsport outdoor,"5., Viktor-Christ-Gasse 24",1417,Befestigte Fläche 464 m²<br />Hartplatz 953 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16632,16632,POINT (16.35670378360735 48.188046769798376),Turnsaal,"5., Viktor-Christ-Gasse 24",299,Turnsaal 1.St 150 m²<br />Turnsaal Part 149 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16633,16633,POINT (16.351304918380308 48.19726307656913),Turnsaal,"6., Amerlingstraße 6",780,Turnsaal 1+2 gesamt 780 m²,,6,
SPORTSTAETTENOGD.16634,16634,POINT (16.351318372608752 48.19727206802979),Schulsport outdoor,"6., Amerlingstraße 6",1300,Hartplatz 1300 m²,,5,
SPORTSTAETTENOGD.16635,16635,POINT (16.352550474259075 48.195813465219544),Turnsaal,"6., Corneliusgasse 6",100,Turnsaal 100 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16636,16636,POINT (16.347633147865626 48.194726509772615),Turnsaal,"6., Hirschengasse 18",130,Turnsaal 130 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16637,16637,POINT (16.347977931466783 48.19488637458808),Turnsaal,"6., Loquaiplatz 4",155,Turnsaal 155 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16638,16638,POINT (16.3503087695029 48.1916818181684),Schulsport outdoor,"6., Marchettigasse 3",567,Hartplatz 567 m²,,5,
SPORTSTAETTENOGD.16639,16639,POINT (16.35032222209573 48.1916908097546),Turnsaal,"6., Marchettigasse 3",582,Turnsaal 1+2 gesamt 582 m²,,6,
SPORTSTAETTENOGD.16640,16640,POINT (16.340249650578343 48.19273186042871),Turnsaal,"6., Mittelgasse 24",115,Turnsaal 115 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16641,16641,POINT (16.340263101686315 48.192740853190415),Schulsport outdoor,"6., Mittelgasse 24",504,Hartplatz 504 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16642,16642,POINT (16.36175800368712 48.20158642760397),Turnsaal,"6., Rahlgasse 4",517,"Turnsaal 271,50m²<br />Gymnastikraum1 98 m²<br />Gymnastikraum2 147m²",,6,
SPORTSTAETTENOGD.16643,16643,POINT (16.343309290980795 48.19138757968579),Turnsaal,"6., Sonnenuhrgasse 3",143,Turnsaal 143 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16644,16644,POINT (16.340036610872776 48.19292135551503),Turnsaal,"6., Spalowskygasse 5",140,Turnsaal 140 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16645,16645,POINT (16.344576083452544 48.198352578835944),Turnsaal,"7., Apollogasse 1",180,Turnsaal 180 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16646,16646,POINT (16.354192185853073 48.204215146806156),Turnsaal,"7., Burggasse 14-16",303,Turnsaal 183 m²<br /> 120 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16647,16647,POINT (16.339107345103148 48.20264190268287),Schulsport outdoor,"7., Kandlgasse 39",294,Hartplatz 294 m²,,5,
SPORTSTAETTENOGD.16648,16648,POINT (16.33912079860577 48.20265089556258),Turnsaal,"7., Kandlgasse 39",412,Turnsaal 1+2 gesamt 412 m²,,6,
SPORTSTAETTENOGD.16649,16649,POINT (16.339674723776866 48.199704877214195),Turnsaal,"7., Kenyongasse 4-12",899,Turnsaal 1 320 m²<br />Turnsaal 2 267 m²<br />Turnsaal 3 200 m²<br />Gymnastikraum 112 m²,http://www.kenyon.at/bakip/,6,
SPORTSTAETTENOGD.16650,16650,POINT (16.349192022273925 48.20179880357131),Turnsaal,"7., Neubaugasse 42",525,Turnsaal 120 m²<br />Turnsaal 405 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16651,16651,POINT (16.345623023791575 48.20553934682436),Schulsport outdoor,"7., Neustiftgasse 95-99",675,Hartplatz 675 m²,,5,
SPORTSTAETTENOGD.16652,16652,POINT (16.345636479193484 48.20554833893685),Turnsaal,"7., Neustiftgasse 95-99",170,Turnsaal 170 m²,,6,
SPORTSTAETTENOGD.16653,16653,POINT (16.34316772691873 48.20583096671523),Schulsport outdoor,"7., Neustiftgasse 98-102",529,Rasenfläche 529 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16654,16654,POINT (16.343181211569384 48.20583998609252),Turnsaal,"7., Neustiftgasse 98-102",697,Turnsaal 146 m²<br />Turnsaal 405 m²<br />Turnsaal 146 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16655,16655,POINT (16.353988643829663 48.20385050326576),Turnsaal,"7., Stiftgasse 35",65,Turnsaal 65 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16656,16656,POINT (16.344721448844314 48.199667828598024),Schulsport outdoor,"7., Zieglergasse 21",233,Hartplatz 233 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16657,16657,POINT (16.344734902550616 48.19967682082544),Turnsaal,"7., Zieglergasse 21",501,Turnsaal 96 m²<br />Turnsaal 405 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16658,16658,POINT (16.34411077052237 48.20952822504102),Schulsport outdoor,"8., Albertgasse 18-22",450,Hartplatz 450 m²,,5,
SPORTSTAETTENOGD.16659,16659,POINT (16.344124226704597 48.20953721732419),Turnsaal,"8., Albertgasse 18-22",605,Turnsaal 1+2 gesamt 605 m²,,6,
SPORTSTAETTENOGD.16660,16660,POINT (16.345699668632072 48.21398406164688),Turnsaal,"8., Feldgasse 6-8",405,Turnsaal 405 m²,,6,
SPORTSTAETTENOGD.16661,16661,POINT (16.346154769496348 48.21064250446139),Turnsaal,"8., Hamerlingplatz 5-6",240,Turnsaal 162 m²<br />Gymnastikraum 78 m²,http://www.hamerlingplatz.vbs.ac.at/,6,
SPORTSTAETTENOGD.16662,16662,POINT (16.349764824913873 48.21086417555252),Turnsaal,"8., Jodok Finkplatz 2",1102,3-fach Halle 1102 m²,,6,
SPORTSTAETTENOGD.16663,16663,POINT (16.349778282435853 48.210873167171684),Schulsport outdoor,"8., Jodok Finkplatz 2",415,Hartplatz 415 m²,,5,
SPORTSTAETTENOGD.16664,16664,POINT (16.352062343278142 48.210172032019365),Turnsaal,"8., Lange Gasse 36",144,Turnsaal 144 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16665,16665,POINT (16.35156539573025 48.21088058538639),Turnsaal,"8., Lange Gasse 47",187,Turnsaal 1 102 m²<br />Turnsaal 2 85 m²,http://www.bakip8.schule.at/,6,
SPORTSTAETTENOGD.16666,16666,POINT (16.341381054330444 48.209432064723046),Schulsport outdoor,"8., Pfeilgasse 42b",1735,Hartplatz 1001 m²<br />Hartplatz 734 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16667,16667,POINT (16.341381054330444 48.209432064723046),Turnsaal,"8., Pfeilgasse 42b 42b",781,Turnsaal 288 m²<br />Turnsaal 205 m²<br />Turnsaal 288 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16668,16668,POINT (16.350002184672444 48.20791626020161),Turnsaal,"8., Zeltgasse 7",160,Turnsaal 160 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16669,16669,POINT (16.350015641463507 48.20792525179767),Schulsport outdoor,"8., Zeltgasse 7",257,Hartplatz 257 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16670,16670,POINT (16.358188156430945 48.229067805921325),Turnsaal,"9., Althanstraße 39",1500,"3 Gymnastiksäle,<br />Kraftraum gesamt 1500 m²",http://www.univie.ac.at/USI-Wien/,6,
SPORTSTAETTENOGD.16671,16671,POINT (16.353899597473312 48.225671461125756),Turnsaal,"9., Galileigasse 3",120,Turnsaal 120 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16672,16672,POINT (16.354043150192872 48.2258996860729),Turnsaal,"9., Galileigasse 5",128,Turnsaal 128 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16673,16673,POINT (16.34625988901783 48.21696238446259),Turnsaal,"9., Gilgegasse 12",178,Turnsaal 178 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16674,16674,POINT (16.365568845064196 48.22522588101153),Turnsaal,"9., Glasergasse 25",264,Turnsaal 180 m²<br />Gymnastikraum 84 m²,,6,
SPORTSTAETTENOGD.16675,16675,POINT (16.363075909405197 48.2243064885209),Turnsaal,"9., Glasergasse 8",284,Turnsaal 141 m²<br />Turnsaal 143 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16676,16676,POINT (16.362124046020117 48.22124965016451),Turnsaal,"9., Grünentorgasse 9",172,Turnsaal 172 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16677,16677,POINT (16.365089162732247 48.22282706802034),Turnsaal,"9., Hahngasse 35",143,Turnsaal 143 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16678,16678,POINT (16.357475695588647 48.22738180747646),Turnsaal,"9., Marktgasse 31",312,Turnsaal 312 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16679,16679,POINT (16.35167069830437 48.22182863179918),Turnsaal,"9., Michelbeuerngasse 6-8",89,Turnsaal 1 89 m²,,6,
SPORTSTAETTENOGD.16680,16680,POINT (16.360436480287433 48.22988141586721),Schulsport outdoor,"9., Nordbergstraße, Nordbergbrücke 17",2380,"Fußball,<br />Kunstrasen gesamt 2380 m²",http://www.univie.ac.at/USI-Wien/,5,
SPORTSTAETTENOGD.16681,16681,POINT (16.352751782948342 48.21992560670181),Schulsport outdoor,"9., Spitalgasse 14",8810,"Rasenplatz,<br />Leichtathletikanlage gesamt 8810 m²",http://www.univie.ac.at/USI-Wien/,5,
SPORTSTAETTENOGD.16682,16682,POINT (16.35295881244053 48.220333780688804),Turnsaal,"9., Spitalgasse 14",2000,"4 Turnsäle,<br />Gymnastikraum gesamt 2000 m²",http://www.univie.ac.at/USI-Wien/,6,
SPORTSTAETTENOGD.16683,16683,POINT (16.36158388186453 48.216703347136644),Turnsaal,"9., Wasagasse 10",456,Turnsaal 1+2 gesamt 456 m²,,6,
SPORTSTAETTENOGD.16684,16684,POINT (16.354736029338984 48.22108857593583),Turnsaal,"9., Währinger Straße 43",176,Turnsaal 116 m²<br /> 60m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16685,16685,POINT (16.385711012312864 48.165398532341314),Schulsport outdoor,"10., Absberggasse 50",1109,Hartplatz 1109 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16686,16686,POINT (16.385724464214057 48.16540751982612),Turnsaal,"10., Absberggasse 50",810,Turnsaal 405 m²<br />Turnsaal 405 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16687,16687,POINT (16.383823242517572 48.14893358741673),Turnsaal,"10., Ada-Christen-Gasse 9",438,Turnsaal 288 m²<br /> 150 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16688,16688,POINT (16.383836689783543 48.148942575149924),Schulsport outdoor,"10., Ada-Christen-Gasse 9",6777,Rasenfläche 6777 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16689,16689,POINT (16.36679997879533 48.170537689729684),Schulsport outdoor,"10., Alxingergasse 82",461,Hartplatz 461 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16690,16690,POINT (16.36681342873792 48.1705466794199),Turnsaal,"10., Alxingergasse 82",157,Turnsaal 157 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16691,16691,POINT (16.36208175291324 48.176598199749215),Turnsaal,"10., Bernhardstalgasse 19",132,Turnsaal 132 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16692,16692,POINT (16.362089033794867 48.17673629515495),Schulsport outdoor,"10., Bernhardtstalgasse 19",360,Hartplatz 360 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16693,16693,POINT (16.363995067376145 48.157687982719864),Turnsaal,"10., Carl-Prohaska-Platz 1",375,Turnsaal 87 m²<br />Turnsaal 288 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16694,16694,POINT (16.364008513468733 48.15769697275927),Schulsport outdoor,"10., Carl-Prohaska-Platz 1",390,Hartplatz 390 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16695,16695,POINT (16.33909630931163 48.16484406891795),Öffentlich outdoor,"10., Eibesbrunnergasse 13 hinter",2687,"polysportiver Hartplatz,<br />Beachvolleyballanlage",https://www.wien.gv.at/freizeit/sportamt/sportstaetten/spielplaetze/,3,
SPORTSTAETTENOGD.16696,16696,POINT (16.374730124387764 48.167663386081095),Schulsport outdoor,"10., Ettenreichgasse 41-43",5873,Rasenplatz 4560 m²<br />Hartplatz 1313 m²,,5,
SPORTSTAETTENOGD.16697,16697,POINT (16.37474357496379 48.167672374847754),Turnsaal,"10., Ettenreichgasse 41-43",700,Turnsaal 1+2 gesamt 700 m²,,6,
SPORTSTAETTENOGD.16698,16698,POINT (16.37329746897032 48.16569046160528),Turnsaal,"10., Ettenreichgasse 45c",375,Turnsaal 375 m²,http://www.bakip10.schule.at/,6,
SPORTSTAETTENOGD.16699,16699,POINT (16.372299449752276 48.165516849770064),Turnsaal,"10., Ettenreichgasse 54",756,Turnsaal 1 378 m²<br />Turnsaal 2 378 m²,,6,
SPORTSTAETTENOGD.16700,16700,POINT (16.372312899342273 48.165525838824806),Schulsport outdoor,"10., Ettenreichgasse 54",1500,Hartplatz 1500 m²,,5,
SPORTSTAETTENOGD.16701,16701,POINT (16.360786477929825 48.167433396852424),Turnsaal,"10., G.-Wilhelm-Pabst-Gasse 2a",864,Turnsaal 288 m²<br />Turnsaal 288 m²<br />Turnsaal 288 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16702,16702,POINT (16.361500303667064 48.167355539569115),Schulsport outdoor,"10., Georg-Wilhelm-Papst-Gasse 2",1539,Rasenfläche 1539 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16703,16703,POINT (16.37351489682494 48.163723469002264),Schulsport outdoor,"10., Grenzackerstraße 23",50651,"Schulsport,<br />LA,<br />Ballspiele gesamt 50651 m²",http://www.schulsport-serviceteam.at/index.php?option=com_content&view=article&id=22&Itemid=29,5,
SPORTSTAETTENOGD.16704,16704,POINT (16.378582846706788 48.1666734860529),Turnsaal,"10., Hebbelplatz 1",145,Turnsaal 145 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16705,16705,POINT (16.37911791387038 48.16652822552013),Turnsaal,"10., Hebbelplatz 2",130,Turnsaal 130 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16706,16706,POINT (16.3425947260053 48.1681284316559),Turnsaal,"10., Hertha-Firnberg-Straße 12",405,Turnsaal 405 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16707,16707,POINT (16.342608171087782 48.1681374241823),Schulsport outdoor,"10., Hertha-Firnberg-Straße 12",799,Hartplatz 799 m²,https://www.wien.gv.at/bildung/schulen/,5,
SPORTSTAETTENOGD.16708,16708,POINT (16.36739834560888 48.17730919395884),Turnsaal,"10., Herzgasse 27",247,Turnsaal 124 m²<br />Turnsaal 123 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16709,16709,POINT (16.366089921861956 48.17068500701063),Turnsaal,"10., Herzgasse 87",155,Turnsaal 155 m²,https://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
SPORTSTAETTENOGD.16710,16710,POINT (16.348067563726065 48.156278611787315),Turnsaal,"10., Hugo-Meisl-Weg 6",180,Turnsaal 180 m²,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,6,
