FID,OBJECTID,SHAPE,KATEGORIE_TXT,ADRESSE,FLAECHE,SPORTSTAETTEN_ART,WEBLINK1,KATEGORIE_NUM,SE_ANNO_CAD_DATA
SPORTSTAETTENOGD.11160,11160,POINT (16.40572877656942 48.19121232310239),Vereinssport outdoor,"3., Baumgasse 58a",9180,"polysportiver Rasenplatz,<br />Tennisanlage (6 Plätze),<br />polysportiver Hartplatz",http://watlandstrasse.at/,7,
SPORTSTAETTENOGD.11161,11161,POINT (16.40801479606971 48.19135103122443),Öffentlich indoor,"3., Baumgasse 83",7130,"Tennishalle (10 Plätze), Golfplatz, Fitness",http://www.vienna-sporthotel.at/,2,
SPORTSTAETTENOGD.11162,11162,POINT (16.4098163923085 48.191045469191664),Vereinssport outdoor,"3., Baumgasse 87",20952,"Rasenplatz,<br />Kunstrasenplatz (Fußball)",http://www.lac-inter.at/,7,
SPORTSTAETTENOGD.11163,11163,POINT (16.356114517728567 48.18824990987545),Vereinssport outdoor,"5., Bacherplatz",1488,Traglufthalle für Handballplätze,http://www.fivers.at/,7,
SPORTSTAETTENOGD.11164,11164,POINT (16.35557961126088 48.18780459732912),Öffentlich outdoor,"5., Bacherplatz, Bacherpark 11 ggü",845,"polysportiver Hartplatz,<br />Tischtennis,<br />Boccia",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11165,11165,POINT (16.350010894841134 48.18587203484427),Öffentlich outdoor,"5., Einsiedlerplatz, Einsiedlerpark 18 hinter",720,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11166,11166,POINT (16.356428574818526 48.19407885920376),Öffentlich outdoor,"5., Grüngasse, Willi-Frank-Park 21",185,"polysportiver Hartplatz, <br />Tischtennis",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11167,11167,POINT (16.360406224544562 48.18211193740832),Öffentlich indoor,"5., Hollgasse 3",6385,"Sporthalle (Schwerpunkt Handball), Basketball, Futsal",https://www.wien.gv.at/freizeit/sportamt/sportstaetten/hallen/hollgasse.html,2,
SPORTSTAETTENOGD.11168,11168,POINT (16.355251513350705 48.181095322704785),Öffentlich outdoor,"5., Leopold-Rister-Gasse 5 ggü",850,"polysportiver Hartplatz, <br />Tischtennis",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11169,11169,POINT (16.350505168166947 48.180234099752276),Öffentlich outdoor,"5., Margaretengürtel, Herweghpark 82-88 ggü",230,"polysportiver Hartplatz, <br />Tischtennis",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11170,11170,POINT (16.343941657103823 48.18795743503213),Öffentlich outdoor,"5., St-.Johann-Gasse, Bruno-Kreisky-Park 16 ggü",210,Fitnessgeräte,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11171,11171,POINT (16.36100141898499 48.18990284672998),Öffentlich outdoor,"5., Mittersteig, Schütte-Lihotzky-Park 26",220,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11172,11172,POINT (16.36216936483283 48.187736653704164),Öffentlich outdoor,"5., Hartmanngasse, Rudolf-Sallinger-Park 2 ggü",355,"polysportiver Hartplatz, <br />Tischtennis",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11173,11173,POINT (16.35077054437644 48.18282277669377),Öffentlich outdoor,"5., Siebenbrunnengasse, Ernst-Lichtblau-Park 76-78 ggü",320,"polysportiver Hartplatz, <br />Tischtennis",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11174,11174,POINT (16.362686866836516 48.184836930242895),Öffentlich outdoor,"5., Kliebergasse, Klieberpark 13 ggü",135,"polysportiver Hartplatz, <br />Fitnessgeräte",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11175,11175,POINT (16.352630179652596 48.19772091957264),Öffentlich outdoor,"6., Gumpendorfer Straße, Esterhazypark 52",465,"polysportiver Hartplatz, <br />Tischtennis, <br />Fitnessgeräte",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11176,11176,POINT (16.352902787183783 48.19754245431482),Öffentlich outdoor,"6., Gumpendorfer Straße 52",300,Kletteranlage,http://www.alpenverein-austria.at/austria/klettern/flakturm/index.php,3,
SPORTSTAETTENOGD.11177,11177,POINT (16.35235673152126 48.19353883222657),Öffentlich outdoor,"6., Hofmühlgasse, Richard-Waldemar-Park 12",170,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11178,11178,POINT (16.346136937369362 48.19300516324328),Öffentlich indoor,"6., Liniengasse 13",100,Tischtennishalle,http://members.a1.net/watmar/,2,
SPORTSTAETTENOGD.11179,11179,POINT (16.361826784597 48.19816457700224),Öffentlich outdoor,"6., Linke Wienzeile, Alfred-Grünwald-Park 26",665,polysportive Hartplätze,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11180,11180,POINT (16.342453515602987 48.19398326010719),Öffentlich outdoor,"6., Millergasse, Mina-Lachs-Park 31",230,"polysportive Hartplätze, <br />Tischtennis",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11181,11181,POINT (16.394515007303866 48.20993869731539),Öffentlich indoor,"3., Custozzagasse 13",200,Fechtanlage,http://www.fechten-wien.at/,2,
SPORTSTAETTENOGD.11182,11182,POINT (16.390631474265454 48.204440709112745),Öffentlich outdoor,"3., Czapkagasse, Czapkapark 17",115,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11183,11183,POINT (16.3968423467192 48.20508340064294),Öffentlich outdoor,"3., Erdberger Lände, Treppelweg 62 ggü",530,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
